,Nom,Famille,Type,ID équipement,Référence constructeur,Date d'installation,Notes,Secteur,Bâtiment,Adresse,Niveau,Salle,Cage d'escalier,Opérationnel/HS,Validation
1846,DISCONNECTEUR,,PLOMBERIE,PARAD ADELF 039,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",Villa B,LT S1,,Opérationnel,Validé
1871,"ENSEMBLE WC, DOUCHES, BAIGNOIRES, BIDES...",,PLOMBERIE,PARAD ADELF 019,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",Villa B,Salle de bain 1 ,,Opérationnel,Validé
1851,"ENSEMBLE WC, DOUCHES, BAIGNOIRES, BIDES...",,PLOMBERIE,PARAD ADELF 042,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",Villa B,Salle de bain 1 ,,Opérationnel,Validé
1436,EXTRACTEUR HOTTE CUISINE,,EXTRACTION_VMC_INSUFFLATION,PARAD ADELF 009,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",Villa B,LT S1,,Opérationnel,Validé
1412,EXTRACTEUR HOTTE CUISINE,,EXTRACTION_VMC_INSUFFLATION,PARAD ADELF 031,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",Villa B,LT S1,,Opérationnel,Validé
1420,EXTRACTEUR L.T.,,EXTRACTION_VMC_INSUFFLATION,PARAD ADELF 010,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",Villa A,LT S1,,Opérationnel,Validé
1406,EXTRACTEUR L.T.,,EXTRACTION_VMC_INSUFFLATION,PARAD ADELF 064,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",PCBC,LT RDJ ,,Opérationnel,Validé
1439,EXTRACTEUR L.T.,,EXTRACTION_VMC_INSUFFLATION,PARAD ADELF 032,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",Villa A,LT S1,,Opérationnel,Validé
1268,FILTRE SUR RESEAU D'EAU,,CLIMATISATION VENTILO CONVECTEUR,PARAD ADELF 015,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",Villa B,LT S1,,Opérationnel,Validé
1276,FILTRE SUR RESEAU D'EAU,,CLIMATISATION VENTILO CONVECTEUR,PARAD ADELF 038,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",Villa A,LT S1,,Opérationnel,Validé
2091,HAMMAM,,HAMMAM,PARAD ADELF 105,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",Villa principale,HAMMAM SDB ETAGE,,Opérationnel,Validé
2099,HAMMAM,,HAMMAM,PARAD ADELF 115,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",Piscine intérieure,LT piscine,,Opérationnel,Validé
1508,MANIPULATION VANNES ET CONTRÔLE ETANCHEITE,,COMPTEURS_MANIP VANNES_GTB_EXPLOITATION,Mona 416,,,,CIP MPG,Bâtiment Horizon,"71 Avenue des Lilas, 57883 Marseille",N+11,Parties communes palier ascenseur,,Opérationnel,Validé
1495,MANIPULATION VANNES ET CONTRÔLE ETANCHEITE,,COMPTEURS_MANIP VANNES_GTB_EXPLOITATION,Mona 414,,,,CIP MPG,Bâtiment Horizon,"71 Avenue des Lilas, 57883 Marseille",N+9,Parties communes palier ascenseur,,Opérationnel,Validé
1496,MANIPULATION VANNES ET CONTRÔLE ETANCHEITE,,COMPTEURS_MANIP VANNES_GTB_EXPLOITATION,Mona 415,,,,CIP MPG,Bâtiment Horizon,"71 Avenue des Lilas, 57883 Marseille",N+10,Parties communes palier ascenseur,,Opérationnel,Validé
1500,MANIPULATION VANNES ET CONTRÔLE ETANCHEITE,,COMPTEURS_MANIP VANNES_GTB_EXPLOITATION,Mona 418,,,,CIP MPG,Bâtiment Horizon,"71 Avenue des Lilas, 57883 Marseille",N+13,Parties communes palier ascenseur,,Opérationnel,Validé
1503,MANIPULATION VANNES ET CONTRÔLE ETANCHEITE,,COMPTEURS_MANIP VANNES_GTB_EXPLOITATION,Mona 406,,,,CIP MPG,Bâtiment Horizon,"71 Avenue des Lilas, 57883 Marseille",N+1,Parties communes palier ascenseur,,Opérationnel,Validé
1507,MANIPULATION VANNES ET CONTRÔLE ETANCHEITE,,COMPTEURS_MANIP VANNES_GTB_EXPLOITATION,Mona 428,,,,CIP MPG,Bâtiment Horizon,"71 Avenue des Lilas, 57883 Marseille",N+23,Parties communes palier ascenseur,,Opérationnel,Validé
1542,MANIPULATION VANNES ET CONTRÔLE ETANCHEITE,,COMPTEURS_MANIP VANNES_GTB_EXPLOITATION,Mona 423,,,,CIP MPG,Bâtiment Horizon,"71 Avenue des Lilas, 57883 Marseille",N+18,Parties communes palier ascenseur,,Opérationnel,Validé
1509,MANIPULATION VANNES ET CONTRÔLE ETANCHEITE,,COMPTEURS_MANIP VANNES_GTB_EXPLOITATION,Mona 409,,,,CIP MPG,Bâtiment Horizon,"71 Avenue des Lilas, 57883 Marseille",N+4,Parties communes palier ascenseur,,Opérationnel,Validé
